gem,version,released,status,gem_bytes,rb_files,native_files,functions,functions_ruby,functions_native,functions_public,functions_private,functions_protected,functions_module_function,native_languages,lines_code,lines_total,parse_errors,added,removed,net,running_total,drift
money,7.1.1,2026-07-31,ok,67072.0,20.0,0.0,214.0,223.0,0.0,179.0,35.0,0.0,0.0,,1160.0,2850.0,0.0,214.0,0.0,214.0,214.0,0.0
simctl,1.6.10,2023-01-26,ok,29184.0,42.0,0.0,135.0,138.0,0.0,123.0,12.0,0.0,0.0,,1011.0,1488.0,0.0,135.0,0.0,135.0,135.0,0.0
pp,0.6.4,2026-06-22,ok,12288.0,1.0,0.0,46.0,47.0,0.0,45.0,1.0,0.0,0.0,,507.0,739.0,0.0,46.0,0.0,46.0,46.0,0.0
redcarpet,3.6.1,2025-02-25,ok,55296.0,6.0,18.0,41.0,35.0,6.0,37.0,4.0,0.0,0.0,c,257.0,386.0,0.0,41.0,0.0,41.0,41.0,0.0
nori,2.9.1,2026-07-05,ok,19968.0,10.0,0.0,74.0,74.0,0.0,50.0,24.0,0.0,0.0,,457.0,791.0,0.0,74.0,0.0,74.0,74.0,0.0
database_cleaner-active_record,2.2.2,2025-07-30,ok,15872.0,7.0,0.0,61.0,61.0,0.0,30.0,31.0,0.0,0.0,,392.0,497.0,0.0,61.0,0.0,61.0,61.0,0.0
lint_roller,1.1.0,2023-07-07,ok,9728.0,8.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,,83.0,110.0,0.0,5.0,0.0,5.0,5.0,0.0
foreman,0.90.0,2025-07-27,ok,31744.0,20.0,0.0,131.0,132.0,0.0,86.0,45.0,0.0,0.0,,1010.0,1480.0,0.0,131.0,0.0,131.0,131.0,0.0
aws-sdk-ses,1.102.0,2026-07-09,ok,100864.0,12.0,0.0,155.0,155.0,0.0,151.0,4.0,0.0,0.0,,3455.0,13780.0,0.0,155.0,0.0,155.0,155.0,0.0
virtus,2.0.0,2021-06-07,ok,50176.0,34.0,0.0,276.0,277.0,0.0,237.0,36.0,3.0,0.0,,1375.0,3188.0,0.0,276.0,0.0,276.0,276.0,0.0
guard-rspec,4.7.3,2016-07-29,ok,30720.0,18.0,0.0,130.0,130.0,0.0,82.0,48.0,0.0,0.0,,770.0,1045.0,0.0,130.0,0.0,130.0,130.0,0.0
ed25519,1.4.0,2025-05-04,ok,182272.0,5.0,50.0,24.0,21.0,3.0,24.0,0.0,0.0,2.0,c+java,103.0,194.0,0.0,24.0,0.0,24.0,24.0,0.0
axiom-types,0.1.1,2014-03-27,ok,23552.0,25.0,0.0,62.0,62.0,0.0,50.0,11.0,1.0,0.0,,567.0,1363.0,0.0,62.0,0.0,62.0,62.0,0.0
redis-rack,3.0.0,2023-12-04,ok,14336.0,4.0,0.0,16.0,16.0,0.0,15.0,1.0,0.0,0.0,,128.0,154.0,0.0,16.0,0.0,16.0,16.0,0.0
rqrcode,3.2.0,2026-01-08,ok,15360.0,9.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,,364.0,576.0,0.0,10.0,0.0,10.0,10.0,0.0
ruby-vips,2.3.0,2025-12-10,ok,74240.0,61.0,0.0,249.0,249.0,0.0,242.0,7.0,0.0,0.0,,2425.0,8700.0,0.0,249.0,0.0,249.0,249.0,0.0
dalli,5.1.0,2026-08-16,ok,72704.0,30.0,0.0,414.0,417.0,0.0,288.0,126.0,0.0,3.0,,2769.0,4840.0,0.0,414.0,0.0,414.0,414.0,0.0
database_cleaner-core,2.1.0,2026-06-01,ok,24576.0,11.0,0.0,65.0,66.0,0.0,48.0,17.0,0.0,0.0,,321.0,432.0,0.0,65.0,0.0,65.0,65.0,0.0
gyoku,1.4.0,2022-04-01,ok,19456.0,7.0,0.0,25.0,25.0,0.0,13.0,12.0,0.0,0.0,,257.0,365.0,0.0,25.0,0.0,25.0,25.0,0.0
redis-actionpack,5.5.0,2024-11-10,ok,14848.0,3.0,0.0,7.0,7.0,0.0,2.0,5.0,0.0,0.0,,51.0,71.0,0.0,7.0,0.0,7.0,7.0,0.0
rspec-retry,0.6.2,2019-11-21,ok,14336.0,4.0,0.0,35.0,35.0,0.0,31.0,4.0,0.0,0.0,,220.0,295.0,0.0,35.0,0.0,35.0,35.0,0.0
premailer,1.30.0,2026-08-19,ok,25088.0,11.0,0.0,54.0,54.0,0.0,46.0,4.0,4.0,0.0,,1255.0,1938.0,0.0,54.0,0.0,54.0,54.0,0.0
xcpretty-travis-formatter,1.0.1,2021-01-01,ok,6656.0,1.0,0.0,23.0,23.0,0.0,23.0,0.0,0.0,0.0,,71.0,96.0,0.0,23.0,0.0,23.0,23.0,0.0
aws-sdk-elasticloadbalancing,1.92.0,2026-07-09,ok,54272.0,12.0,0.0,78.0,78.0,0.0,74.0,4.0,0.0,0.0,,1881.0,6696.0,0.0,78.0,0.0,78.0,78.0,0.0
aws-sdk-firehose,1.112.0,2026-07-09,ok,93696.0,11.0,0.0,45.0,45.0,0.0,43.0,2.0,0.0,0.0,,2803.0,11350.0,0.0,45.0,0.0,45.0,45.0,0.0
snaky_hash,2.0.7,2026-07-14,ok,40448.0,7.0,0.0,29.0,30.0,0.0,23.0,6.0,0.0,0.0,,226.0,482.0,0.0,29.0,0.0,29.0,29.0,0.0
ruby-rc4,0.1.5,2012-02-07,ok,7168.0,1.0,0.0,6.0,6.0,0.0,4.0,2.0,0.0,0.0,,34.0,44.0,0.0,6.0,0.0,6.0,6.0,0.0
countries,8.1.0,2026-01-02,ok,2644480.0,26.0,0.0,161.0,165.0,0.0,131.0,23.0,7.0,2.0,,888.0,1379.0,0.0,161.0,0.0,161.0,161.0,0.0
celluloid-pool,0.20.5,2015-09-30,ok,9728.0,3.0,0.0,34.0,34.0,0.0,34.0,0.0,0.0,0.0,,217.0,288.0,0.0,34.0,0.0,34.0,34.0,0.0
kgio,2.11.4,2021-05-25,ok,60416.0,3.0,19.0,279.0,251.0,50.0,274.0,5.0,0.0,0.0,c,1308.0,1687.0,0.0,279.0,0.0,279.0,279.0,0.0
raindrops,0.20.1,2023-02-25,ok,63488.0,12.0,5.0,325.0,331.0,16.0,320.0,5.0,0.0,0.0,c,2072.0,3023.0,0.0,325.0,0.0,325.0,325.0,0.0
tins,1.56.0,2026-07-25,ok,358912.0,118.0,0.0,397.0,406.0,0.0,387.0,10.0,0.0,7.0,,3376.0,7902.0,0.0,397.0,0.0,397.0,397.0,0.0
image_processing,2.1.0,2026-09-01,ok,19456.0,8.0,0.0,81.0,81.0,0.0,66.0,15.0,0.0,6.0,,580.0,887.0,0.0,81.0,0.0,81.0,81.0,0.0
celluloid-fsm,0.20.5,2015-09-30,ok,8704.0,1.0,0.0,23.0,23.0,0.0,16.0,0.0,7.0,0.0,,116.0,188.0,0.0,23.0,0.0,23.0,23.0,0.0
ruby_parser,3.22.0,2025-12-21,ok,827392.0,23.0,0.0,6598.0,6611.0,0.0,6598.0,0.0,0.0,0.0,,140633.0,163470.0,0.0,6598.0,0.0,6598.0,6598.0,0.0
celluloid-essentials,0.20.5,2015-09-30,ok,17920.0,27.0,0.0,208.0,209.0,0.0,205.0,3.0,0.0,9.0,,1084.0,1401.0,0.0,208.0,0.0,208.0,208.0,0.0
celluloid-supervision,0.20.6,2016-06-19,ok,15872.0,18.0,0.0,104.0,112.0,0.0,96.0,8.0,0.0,0.0,,892.0,1115.0,0.0,104.0,0.0,104.0,104.0,0.0
celluloid-extras,0.20.5,2015-09-30,ok,7680.0,3.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,,84.0,110.0,0.0,20.0,0.0,20.0,20.0,0.0
word_wrap,1.0.0,2015-04-22,ok,9216.0,4.0,0.0,9.0,9.0,0.0,9.0,0.0,0.0,0.0,,105.0,144.0,0.0,9.0,0.0,9.0,9.0,0.0
danger,9.6.1,2026-07-29,ok,91136.0,112.0,0.0,1100.0,1107.0,0.0,945.0,155.0,0.0,0.0,,6818.0,10936.0,0.0,1100.0,0.0,1100.0,1100.0,0.0
statsd-ruby,1.5.0,2021-01-07,ok,15872.0,3.0,0.0,64.0,66.0,0.0,54.0,7.0,3.0,0.0,,296.0,550.0,0.0,64.0,0.0,64.0,64.0,0.0
faraday_middleware-aws-sigv4,1.0.1,2022-10-01,ok,8704.0,3.0,0.0,6.0,6.0,0.0,4.0,2.0,0.0,0.0,,65.0,88.0,0.0,6.0,0.0,6.0,6.0,0.0
omniauth-google-oauth2,1.2.3,2026-08-31,ok,36864.0,4.0,0.0,36.0,36.0,0.0,7.0,29.0,0.0,0.0,,317.0,497.0,0.0,36.0,0.0,36.0,36.0,0.0
get_process_mem,1.0.0,2024-07-22,ok,11776.0,3.0,0.0,16.0,16.0,0.0,14.0,2.0,0.0,0.0,,158.0,192.0,0.0,16.0,0.0,16.0,16.0,0.0
deep_merge,1.2.2,2022-01-07,ok,14848.0,4.0,0.0,9.0,9.0,0.0,9.0,0.0,0.0,0.0,,192.0,308.0,0.0,9.0,0.0,9.0,9.0,0.0
encryptor,3.0.0,2016-03-27,ok,20480.0,3.0,0.0,12.0,12.0,0.0,8.0,0.0,4.0,0.0,,91.0,157.0,0.0,12.0,0.0,12.0,12.0,0.0
